tweet_id, text,will_help,wont_help
68,I'm so sorry about that. Please tell us more so we can help.,True,False
207,Help is here.,True,False
211,We are happy to help.,True,False
305,"Hi there, we would like to help.",True,False
604,Please let us know how we can help.,True,False
615,Will you describe the issue? We'd love to help.,True,False
656,We're happy to help out any way we can!,True,False
668,We'll be glad to help!,True,False
722,What's going on? We're hapy to help if we can.,True,False
729,You're in the right place; we'll do all we can to help.,True,False
748,We want to help!,True,False
757,We're here to help.,True,False
1164,Hey we are here and we want to help! ,True,False
1285,This is really concerning to us and we would love to help.,True,False
1319,I'd be happy to help anyway we can.,True,False
1429,We can help right here. ,True,False
1450,Glad to help!,True,False
1514,"Hello, this does not sound good. We would like to help.",True,False
1585,"Okay, I'm currently on the middle of something, I will return your call shortly.",True,False
1589,I'm sorry to see this and want to see how I can help.,True,False
1590,"They won't let us help you,",False,True
1607,"We'd be happy to help, but we could use more info.",False,True
1692,We'd love to help!,True,False
1723,We'd like to see what we can do to help.,True,False
1740,"Oh no! We'd like to help you with this, Kelly!",True,False
856,It's not possible at the moment.,False,True
147502,Sadly not ,False,True
1849,"Hey there, unfortunately, we are not able to assist with this request.",False,True
12120,We're not able to respond further to this matter.,False,True
65959,We're not able to address these concerns over social.,False,True
80903,Here to assist! ,True,False
84637,We're sorry we're not able to help you.,False,True
86918,I'd be happy to help.,True,False
101697,"We'd like to help, Daryl!",True,False
145725,we'd love to help in any way we can!,True,False
151822,"Sorry Mc, but we are not able to assist you regarding this.",False,True
160135,We're not able to assist.,False,True
168723,"We're here to assist, Joy.",True,False
207485,"Hi Roderick, we are not able to do this for you.",False,True
224081,"Aaron, I can help!",True,False
232003,We are not able to do anything.,False,True
239632,We're here for you!,True,False
240797,Hi there. Really sorry to hear this. Unfortunately we are not able to do this.,False,True
253320,Hi Vicki! We'd be happy to assist you.,True,False
316895,"Hi Adam, we're not able to do this.",False,True
343373,Unfortunately we are not able to assist.,False,True
343404,I apologize we were not able to assist you.,False,True
343438,We currently are not able to assist.,False,True
348832,Unfortunately I am currently not able to.,False,True
387352,We're not able to assist on this occasion.,False,True
3982,Unfortunately we're unable to help you.,False,True
8087,I would love to.,True,False
8668,"Hi Sammy. Unfortunately, no.",False,True
25055,"No, unfortunately not.",False,True
27097,"That's very generous Hannah, however we unfortunately are unable to do that.",False,True
27995,We understand your reasons for asking but unfortunately we won't on this occasion.,False,True
39826,"Unfortunately that wouldn't be something we could arrange, Mark, we're sorry!",False,True
60138,"Unfortunately, we are unable to assist with this.",False,True
66398,Unfortunately not Alison.,False,True
68182,"Unfortunately not, sorry Holly.",False,True
75139,"Unfortunately not, or I would have already.",False,True
80976,Unfortunately we are unable to do anything.,False,True
89916,We'd like to help.,True,False
90136,"Unfortunately not, Jess.",False,True
94765,Of Course.,True,False
96447,Unfortunately I do not know how..,False,True
104206,"Unfortunately, I will not be able to.",False,True
113584,"Hi, I can help.",True,False
116503,"Hi Danny, unfortunately, this isn't possible. ",False,True
122478,"Unfortunately, we won't be able.",False,True
122752,We're here to help. ,True,False
127478,"Hi there. Unfortunately not, my apologies. ",False,True
135338,"Unfortunately, at this time, we don't have the ability to provide support",False,True
32,I will be glad to assist you. ,True,False
154,I'm so glad we could help. ,True,False
187,Glad to help.,True,False
2661,We'd be glad to see what we can do for you.,True,False
5586,"Hi there,Glad to assist! ",True,False
11846,Hi Samuel. We are glad to  help you.,True,False
244,sure thing,True,False
1225,sure will do.,True,False
1381,"Yeah, buddy!",True,False
1680,I sure can!,True,False
2299,Hello! It's our utmost pleasure to help.,True,False
3294,"Sure, Jun.",True,False
4466,"Hey, Claudia, I am for sure wanting to help you out today",True,False
7054,"Sure, I'll do that now",True,False
13704,We assure you we're here to help.,True,False
14318,We want to help you. ,True,False
14416,"No way, we got your back.",True,False
14473,I don't see why not.,True,False
15009,"Sure thing. I'm a busy man, but I try",True,False
15748,We sure do.,True,False
15992,it's impossible for me,False,True
16237,Oh for sure! Thereâ€™s so much more to do,True,False
18013,"Oh ok, sounds good.",True,False
19245,We're here for you!,True,False
19308,We sure can! What can we help out with?,True,False
